Hazel	Blears	Salford	£19,722	£1,527	£18,234	£61,774	£10,706	£1,538	£358	£1,925	£0
Bob	Blizzard	Waveney	£19,721	£0	£17,528	£61,950	£7,366	£86	£1,248	£1,888	£0
David	Blunkett	Sheffield, Brightside	£19,722	£0	£10,355	£43,091	£3,842	£479	£1,225	£0	£0
Crispin	Blunt	Reigate	£19,722	£0	£18,036	£69,212	£9,363	£0	£1,126	£1,921	£0
Paul	Boateng	Brent South	£9,200	£1,527	£10,742	£72,310	£3,029	£0	£1,239	£2,015	£0
David	Borrow	South Ribble	£19,722	£0	£18,221	£61,980	£10,183	£813	£2,154	£1,950	£0
Tim	Boswell	Daventry	£5,955	£0	£17,957	£57,565	£4,707	£74	£939	£1,920	£0
Peter	Bottomley	Worthing West	£15,298	£0	£18,198	£53,176	£8,131	£35	£658	£1,898	£0
Virginia	Bottomley	South West Surrey	£19,510	£0	£18,234	£61,980	£5,290	£110	£1,039	£1,953	£0
Keith	Bradley	Manchester, Withington	£14,064	£246	£18,234	£60,235	£12,774	£534	£3,293	£1,979	£0
Peter	Bradley	Wrekin, The	£14,809	£0	£18,189	£67,392	£8,458	£360	£2,296	£1,921	£0
Ben	Bradshaw	Exeter	£9,987	£1,527	£18,168	£65,114	£3,781	£2,079	£1,562	£1,877	£0
Graham	Brady	Altrincham & Sale West	£19,722	£0	£18,234	£69,197	£14,162	£1,064	£1,082	£1,964	£0
Tom	Brake	Carshalton & Wallington	£0	£1,527	£18,234	£71,946	£2,666	£0	£1,679	£1,963	£1,500
Julian	Brazier	Canterbury	£10,586	£0	£18,220	£69,052	£5,992	£0	£1,079	£1,946	£0
Colin	Breed	South East Cornwall	£16,769	£0	£15,792	£61,465	£12,638	£631	£725	£1,929	£0
Kevin	Brennan	Cardiff West	£19,722	£0	£16,311	£61,360	£7,600	£1,070	£596	£1,968	£0
Annette	Brooke	Mid Dorset & North Poole	£14,399	£0	£17,106	£62,098	£5,388	£352	£976	£1,968	£0
Gordon	Brown	Dunfermline East	£17,688	£0	£18,234	£69,212	£11,037	£3,976	£1,591	£1,880	£0
Nick	Brown	Newcastle upon Tyne East & Wallsend	£19,722	£1,527	£16,113	£63,788	£15,735	£2,840	£398	£1,966	£0
Russell	Brown	Dumfries	£19,722	£0	£18,078	£61,451	£17,504	£550	£2,304	£1,977	£0
Des	Browne	Kilmarnock & Loudoun	£17,146	£1,527	£17,323	£61,289	£12,028	£348	£1,908	£1,892	£3,695
Angela	Browning	Tiverton & Honiton	£19,507	£0	£18,127	£69,179	£11,847	£379	£1,100	£1,483	£0
