														MP Travel: regular journeys between home/constituency/Westminster				MP Travel: Other				MP Spouse Travel		MP Family Travel		MP Employee Travel	
Member		TOTAL ALLOWANCES CLAIMED, INC TRAVEL	TOTAL BASIC ALLOWANCES, EXC TRAVEL	TOTAL TRAVEL CLAIMED	Cost of staying away from main home	London supplement	Office running costs	Staffing costs	Centrally purchased stationery	Stationery associated postage costs	Central IT provision	Staff cover and other costs	Comms allowance	Mileage	MP Rail	MP Air	MP Misc (see notes)	MP other Mileage	MP other Rail	MP other Air	MP other European	Spouse Total	No. of Journeys	Family Total	No. of Journeys	Employee Total	No. of Journeys
Devine	Jim	£169,133.00	£150,037.00	£19,096.00	£22,898.00	£0.00	£21,274.00	£89,532.00	£1,610.00	£3,662.00	£1,033.00	£0.00	£10,028.00	£4,192.00	£3,054.00	£10,089.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,761.00	12
Alexander	Danny	£168,478.00	£142,064.00	£26,414.00	£23,083.00	£0.00	£20,971.00	£81,712.00	£950.00	£2,548.00	£1,002.00	£0.00	£11,798.00	£3,322.00	£2,180.00	£14,581.00	£988.00	£0.00	£523.00	£0.00	£0.00	£3,669.00	21	£93.00	5	£1,058.00	11
Moffat	Anne	£168,255.00	£146,808.00	£21,447.00	£23,083.00	£0.00	£23,533.00	£88,292.00	£74.00	£690.00	£1,194.00	£0.00	£9,942.00	£3,787.00	£3,205.00	£11,628.00	£50.00	£0.00	£0.00	£0.00	£0.00	£242.00	2	£0.00	0	£2,535.00	21
Wishart	Pete	£167,846.00	£139,069.00	£28,777.00	£21,737.00	£0.00	£24,165.00	£76,669.00	£1,204.00	£3,838.00	£1,159.00	£0.00	£10,297.00	£4,247.00	£1,998.00	£16,470.00	£1,144.00	£0.00	£0.00	£0.00	£750.00	£0.00	0	£0.00	2	£4,168.00	14
Hall	Mr Mike	£167,791.00	£152,760.00	£15,031.00	£23,067.00	£0.00	£17,087.00	£94,671.00	£1,820.00	£5,175.00	£1,147.00	£0.00	£9,793.00	£4,563.00	£8,275.00	£254.00	£0.00	£0.00	£0.00	£0.00	£0.00	£640.00	2	£0.00	0	£1,299.00	17
Willis	Mr Phil	£167,561.00	£147,008.00	£20,553.00	£22,905.00	£0.00	£22,322.00	£87,024.00	£1,792.00	£5,200.00	£1,127.00	£0.00	£6,638.00	£3,829.00	£12,684.00	£593.00	£621.00	£0.00	£0.00	£392.00	£0.00	£1,596.00	10	£0.00	0	£838.00	10
Keen	Ann	£167,306.00	£167,306.00	£0.00	£18,338.00	£0.00	£7,290.00	£104,508.00	£1,212.00	£5,497.00	£1,319.00	£19,142.00	£10,000.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Meale	Mr Alan	£167,272.00	£143,982.00	£23,290.00	£23,083.00	£0.00	£20,149.00	£90,505.00	£493.00	£1,889.00	£1,264.00	£0.00	£6,599.00	£7,585.00	£10,802.00	£0.00	£202.00	£0.00	£77.00	£0.00	£2,737.00	£562.00	10	£0.00	0	£1,325.00	24
McKenna	Rosemary	£167,113.00	£139,992.00	£27,121.00	£23,058.00	£0.00	£22,472.00	£83,781.00	£326.00	£485.00	£1,255.00	£0.00	£8,615.00	£3,689.00	£1,013.00	£9,982.00	£788.00	£0.00	£0.00	£0.00	£2,105.00	£5,731.00	30	£0.00	0	£3,813.00	24
Morden	Jessica	£167,060.00	£155,094.00	£11,966.00	£20,703.00	£0.00	£27,270.00	£89,512.00	£1,593.00	£4,708.00	£1,117.00	£0.00	£10,191.00	£2,788.00	£6,813.00	£0.00	£104.00	£0.00	£0.00	£0.00	£508.00	£0.00	0	£0.00	0	£1,753.00	24
Farrelly	Paul	£167,055.00	£148,093.00	£18,962.00	£23,083.00	£0.00	£17,446.00	£94,396.00	£664.00	£1,333.00	£1,171.00	£0.00	£10,000.00	£4,175.00	£7,958.00	£0.00	£657.00	£88.00	£29.00	£0.00	£1,819.00	£2,957.00	28	£905.00	16	£374.00	6
Harris	Mr Tom	£166,991.00	£145,595.00	£21,396.00	£23,083.00	£0.00	£23,413.00	£86,848.00	£776.00	£3,145.00	£1,003.00	£0.00	£7,327.00	£4,575.00	£7,104.00	£4,846.00	£0.00	£0.00	£0.00	£0.00	£0.00	£3,988.00	24	£343.00	2	£540.00	3
Hesford	Stephen	£166,866.00	£150,424.00	£16,442.00	£21,665.00	£0.00	£27,038.00	£83,825.00	£1,638.00	£5,355.00	£1,129.00	£0.00	£9,774.00	£5,625.00	£10,416.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£329.00	2	£0.00	0	£72.00	2
