														MP Travel: regular journeys between home/constituency/Westminster				MP Travel: Other				MP Spouse Travel		MP Family Travel		MP Employee Travel	
Member		TOTAL ALLOWANCES CLAIMED, INC TRAVEL	TOTAL BASIC ALLOWANCES, EXC TRAVEL	TOTAL TRAVEL CLAIMED	Cost of staying away from main home	London supplement	Office running costs	Staffing costs	Centrally purchased stationery	Stationery associated postage costs	Central IT provision	Staff cover and other costs	Comms allowance	Mileage	MP Rail	MP Air	MP Misc (see notes)	MP other Mileage	MP other Rail	MP other Air	MP other European	Spouse Total	No. of Journeys	Family Total	No. of Journeys	Employee Total	No. of Journeys
Campbell	Mr Ronnie	£161,713.00	£146,457.00	£15,256.00	£23,083.00	£0.00	£20,824.00	£90,455.00	£353.00	£1,427.00	£1,093.00	£0.00	£9,222.00	£5,653.00	£5,159.00	£119.00	£12.00	£0.00	£355.00	£0.00	£0.00	£3,454.00	26	£0.00	0	£504.00	4
Pope	Mr Greg	£161,688.00	£142,799.00	£18,889.00	£22,211.00	£0.00	£24,662.00	£86,275.00	£353.00	£1,282.00	£1,350.00	£0.00	£6,666.00	£4,023.00	£8,513.00	£2,355.00	£456.00	£0.00	£0.00	£0.00	£0.00	£3,201.00	19	£0.00	0	£341.00	4
Vaz	Rt Hon Keith	£161,358.00	£146,584.00	£14,774.00	£20,787.00	£0.00	£26,308.00	£82,637.00	£1,612.00	£4,484.00	£1,329.00	£0.00	£9,427.00	£8,444.00	£2,165.00	£0.00	£0.00	£278.00	£169.00	£280.00	£2,410.00	£750.00	20	£48.00	1	£230.00	10
Davies	Philip	£161,300.00	£149,442.00	£11,858.00	£23,083.00	£0.00	£19,985.00	£90,257.00	£1,002.00	£3,276.00	£1,107.00	£0.00	£10,732.00	£1,680.00	£9,852.00	£0.00	£0.00	£0.00	£0.00	£132.00	£0.00	£0.00	0	£0.00	0	£194.00	6
Turner	Mr Neil	£161,218.00	£148,106.00	£13,112.00	£22,979.00	£0.00	£16,977.00	£93,551.00	£1,427.00	£4,360.00	£1,200.00	£0.00	£7,612.00	£2,480.00	£8,935.00	£0.00	£0.00	£487.00	£0.00	£0.00	£0.00	£1,210.00	8	£0.00	0	£0.00	0
Browne	Mr Jeremy	£161,136.00	£152,260.00	£8,876.00	£23,074.00	£0.00	£19,662.00	£90,251.00	£1,965.00	£4,989.00	£1,114.00	£0.00	£11,205.00	£2,344.00	£5,997.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£131.00	0	£0.00	0	£404.00	7
McFall	Rt Hon John	£161,121.00	£144,809.00	£16,312.00	£22,832.00	£0.00	£16,926.00	£92,230.00	£628.00	£1,080.00	£1,220.00	£0.00	£9,893.00	£4,049.00	£1,408.00	£8,135.00	£201.00	£0.00	£0.00	£0.00	£0.00	£2,372.00	23	£0.00	0	£147.00	1
Donaldson	Rt Hon Jeffrey M.	£161,095.00	£141,279.00	£19,816.00	£20,342.00	£0.00	£20,758.00	£89,492.00	£1,169.00	£3,176.00	£982.00	£0.00	£5,360.00	£102.00	£1,209.00	£15,150.00	£0.00	£0.00	£0.00	£0.00	£1,667.00	£854.00	4	£834.00	4	£0.00	0
Steen	Mr Anthony	£160,957.00	£149,787.00	£11,170.00	£23,083.00	£0.00	£14,371.00	£91,679.00	£897.00	£2,449.00	£1,413.00	£4,664.00	£11,231.00	£4,683.00	£3,438.00	£0.00	£631.00	£0.00	£0.00	£0.00	£0.00	£1,482.00	30	£0.00	0	£936.00	12
Harris	Dr Evan	£160,923.00	£148,589.00	£12,334.00	£23,081.00	£0.00	£24,955.00	£86,888.00	£617.00	£1,700.00	£1,348.00	£0.00	£10,000.00	£4,425.00	£5,976.00	£186.00	£871.00	£0.00	£102.00	£681.00	£0.00	£0.00	0	£0.00	0	£93.00	6
Hain	Rt Hon Peter	£160,826.00	£151,982.00	£8,844.00	£23,083.00	£0.00	£19,226.00	£91,415.00	£981.00	£3,367.00	£1,421.00	£3,112.00	£9,377.00	£1,489.00	£3,515.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£2,957.00	23	£0.00	0	£883.00	12
Barker	Gregory	£160,630.00	£154,213.00	£6,417.00	£21,700.00	£0.00	£25,056.00	£92,391.00	£1,024.00	£4,047.00	£1,262.00	£0.00	£8,733.00	£2,746.00	£466.00	£0.00	£0.00	£22.00	£1,660.00	£262.00	£979.00	£0.00	0	£0.00	0	£282.00	18
Wilshire	Mr David	£160,542.00	£153,250.00	£7,292.00	£23,083.00	£0.00	£25,039.00	£86,476.00	£1,985.00	£4,999.00	£1,341.00	£0.00	£10,327.00	£6,655.00	£0.00	£0.00	£244.00	£150.00	£83.00	£0.00	£0.00	£0.00	0	£0.00	0	£160.00	24
Harvey	Nick	£160,492.00	£149,241.00	£11,251.00	£23,036.00	£0.00	£21,278.00	£90,449.00	£952.00	£2,318.00	£1,374.00	£0.00	£9,834.00	£5,904.00	£3,986.00	£0.00	£306.00	£0.00	£0.00	£0.00	£0.00	£210.00	2	£8.00	1	£837.00	16
Moran	Margaret	£160,467.00	£150,297.00	£10,170.00	£22,343.00	£0.00	£17,665.00	£94,101.00	£1,671.00	£3,492.00	£1,477.00	£0.00	£9,548.00	£8,007.00	£0.00	£0.00	£699.00	£0.00	£0.00	£0.00	£0.00	£1,152.00	0	£0.00	0	£312.00	16
Farron	Tim	£160,433.00	£143,944.00	£16,489.00	£23,050.00	£0.00	£25,617.00	£81,776.00	£1,165.00	£2,543.00	£1,138.00	£0.00	£8,655.00	£4,456.00	£10,703.00	£0.00	£24.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£180.00	4	£1,126.00	16
Jones	Mr Kevan	£160,365.00	£144,841.00	£15,524.00	£23,083.00	£0.00	£18,785.00	£90,189.00	£536.00	£3,300.00	£1,348.00	£0.00	£7,600.00	£4,218.00	£4,093.00	£6,702.00	£32.00	£0.00	£172.00	£0.00	£0.00	£0.00	0	£0.00	0	£307.00	5
Sheerman	Mr Barry	£160,353.00	£147,216.00	£13,137.00	£23,083.00	£0.00	£19,583.00	£92,261.00	£579.00	£2,429.00	£1,256.00	£0.00	£8,025.00	£6,665.00	£4,373.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,730.00	22	£0.00	0	£369.00	7
Smith	Sir Robert	£160,316.00	£139,101.00	£21,215.00	£19,039.00	£0.00	£19,137.00	£86,309.00	£465.00	£1,108.00	£1,486.00	£0.00	£11,557.00	£3,183.00	£1,061.00	£12,972.00	£1,318.00	£0.00	£0.00	£0.00	£0.00	£468.00	2	£1,345.00	2	£868.00	4
Reid	Rt Hon John	£160,209.00	£145,925.00	£14,284.00	£23,083.00	£0.00	£29,979.00	£85,497.00	£358.00	£1,261.00	£1,488.00	£0.00	£4,259.00	£0.00	£1,300.00	£8,560.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,467.00	10	£0.00	0	£2,957.00	21
Davies	David T. C.	£160,198.00	£147,743.00	£12,455.00	£23,020.00	£0.00	£23,056.00	£81,646.00	£525.00	£1,360.00	£1,039.00	£0.00	£17,097.00	£4,138.00	£5,889.00	£0.00	£927.00	£496.00	£0.00	£309.00	£0.00	£208.00	2	£0.00	0	£488.00	9
Simpson	Mr Keith	£160,087.00	£152,933.00	£7,154.00	£22,076.00	£0.00	£20,123.00	£81,686.00	£527.00	£1,817.00	£1,499.00	£5,779.00	£19,426.00	£6,134.00	£360.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£639.00	16	£21.00	2	£0.00	0
Mountford	Kali	£160,015.00	£140,633.00	£19,382.00	£23,083.00	£0.00	£23,791.00	£85,535.00	£897.00	£300.00	£1,261.00	£0.00	£5,766.00	£7,816.00	£6,414.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£4,692.00	30	£0.00	0	£460.00	4
Duddridge	James	£160,005.00	£156,040.00	£3,965.00	£22,975.00	£0.00	£19,788.00	£90,280.00	£1,465.00	£5,237.00	£1,290.00	£7,646.00	£7,359.00	£3,030.00	£751.00	£0.00	£10.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£174.00	16
Cawsey	Mr Ian	£159,935.00	£147,938.00	£11,997.00	£18,050.00	£0.00	£21,700.00	£85,872.00	£1,770.00	£4,191.00	£1,166.00	£5,235.00	£9,954.00	£4,284.00	£6,709.00	£0.00	£472.00	£0.00	£17.00	£0.00	£0.00	£0.00	0	£0.00	0	£515.00	4
Ruane	Chris	£159,935.00	£152,680.00	£7,255.00	£23,076.00	£0.00	£17,548.00	£94,240.00	£1,030.00	£5,441.00	£1,345.00	£0.00	£10,000.00	£4,723.00	£1,509.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£540.00	8	£93.00	4	£390.00	8
McCrea	Rev Dr William	£159,852.00	£141,724.00	£18,128.00	£20,904.00	£0.00	£30,247.00	£86,875.00	£627.00	£2,027.00	£1,044.00	£0.00	£0.00	£0.00	£2,865.00	£14,623.00	£0.00	£0.00	£0.00	£0.00	£0.00	£640.00	3	£0.00	0	£0.00	0
Humble	Mrs Joan	£159,703.00	£143,792.00	£15,911.00	£23,083.00	£0.00	£19,205.00	£89,148.00	£510.00	£1,246.00	£1,090.00	£0.00	£9,510.00	£1,680.00	£12,557.00	£183.00	£66.00	£0.00	£0.00	£0.00	£0.00	£707.00	6	£0.00	0	£718.00	4
Gidley	Sandra	£159,636.00	£154,005.00	£5,631.00	£22,497.00	£0.00	£21,283.00	£92,344.00	£1,566.00	£3,936.00	£1,445.00	£1,000.00	£9,934.00	£1,845.00	£2,570.00	£0.00	£110.00	£0.00	£893.00	£61.00	£0.00	£31.00	4	£0.00	0	£121.00	8
Goldsworthy	Julia	£159,325.00	£148,135.00	£11,190.00	£21,576.00	£0.00	£21,648.00	£90,195.00	£1,129.00	£3,246.00	£1,015.00	£0.00	£9,326.00	£2,788.00	£7,232.00	£181.00	£52.00	£0.00	£344.00	£0.00	£0.00	£0.00	0	£0.00	0	£593.00	14
Keetch	Mr Paul	£159,155.00	£144,240.00	£14,915.00	£23,083.00	£0.00	£27,344.00	£84,273.00	£675.00	£1,918.00	£1,353.00	£0.00	£5,594.00	£4,606.00	£7,273.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£2,066.00	22	£112.00	2	£858.00	10
Crabb	Mr Stephen	£159,121.00	£147,373.00	£11,748.00	£22,243.00	£0.00	£25,447.00	£85,390.00	£755.00	£2,136.00	£1,104.00	£1,707.00	£8,591.00	£5,976.00	£3,995.00	£0.00	£185.00	£10.00	£29.00	£0.00	£0.00	£974.00	14	£36.00	2	£543.00	6
Simon	Mr Siôn	£158,992.00	£146,808.00	£12,184.00	£22,975.00	£0.00	£26,006.00	£82,136.00	£2,035.00	£4,908.00	£1,155.00	£0.00	£7,593.00	£0.00	£9,000.00	£0.00	£0.00	£0.00	£0.00	£0.00	£442.00	£0.00	0	£803.00	22	£1,939.00	24
Simpson	David	£158,903.00	£131,554.00	£27,349.00	£21,770.00	£0.00	£21,091.00	£83,001.00	£482.00	£1,433.00	£1,101.00	£0.00	£2,676.00	£1,400.00	£1,747.00	£18,724.00	£0.00	£0.00	£0.00	£0.00	£1,667.00	£2,739.00	12	£865.00	4	£207.00	7
Webb	Prof Steve	£158,796.00	£150,397.00	£8,399.00	£22,913.00	£0.00	£18,461.00	£93,370.00	£996.00	£3,365.00	£1,308.00	£0.00	£9,984.00	£1,204.00	£6,558.00	£0.00	£563.00	£0.00	£0.00	£0.00	£0.00	£0.00	2	£0.00	0	£74.00	2
Flint	Rt Hon Caroline	£158,773.00	£147,464.00	£11,309.00	£20,861.00	£0.00	£19,114.00	£89,319.00	£1,269.00	£5,730.00	£1,591.00	£0.00	£9,580.00	£1,548.00	£7,370.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£2,391.00	25	£0.00	0	£0.00	0
Bone	Mr Peter	£158,669.00	£152,314.00	£6,355.00	£23,061.00	£0.00	£17,240.00	£94,600.00	£1,519.00	£4,890.00	£1,065.00	£0.00	£9,939.00	£4,066.00	£854.00	£0.00	£52.00	£0.00	£25.00	£0.00	£0.00	£641.00	15	£121.00	6	£596.00	24
Campbell	Mr Alan	£158,648.00	£141,057.00	£17,591.00	£21,188.00	£0.00	£23,761.00	£78,998.00	£1,519.00	£2,452.00	£1,288.00	£0.00	£11,851.00	£4,020.00	£11,925.00	£508.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,138.00	5
Roy	Mr Frank	£158,637.00	£140,675.00	£17,962.00	£21,365.00	£0.00	£19,052.00	£89,612.00	£693.00	£1,208.00	£1,165.00	£0.00	£7,580.00	£3,786.00	£1,736.00	£8,987.00	£1,591.00	£0.00	£0.00	£0.00	£0.00	£357.00	2	£0.00	0	£1,505.00	12
Gibb	Mr Nick	£158,541.00	£149,013.00	£9,528.00	£23,053.00	£0.00	£12,941.00	£90,191.00	£668.00	£2,025.00	£1,364.00	£18,771.00	£0.00	£7,216.00	£0.00	£0.00	£244.00	£916.00	£51.00	£1,101.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Grogan	Mr John	£158,477.00	£143,148.00	£15,329.00	£23,083.00	£0.00	£20,757.00	£91,086.00	£830.00	£3,758.00	£1,414.00	£0.00	£2,220.00	£2,740.00	£9,001.00	£971.00	£0.00	£0.00	£476.00	£425.00	£512.00	£0.00	0	£0.00	0	£1,204.00	22
Griffith	Nia	£158,429.00	£147,090.00	£11,339.00	£22,911.00	£0.00	£18,403.00	£91,165.00	£529.00	£820.00	£987.00	£0.00	£12,275.00	£1,680.00	£8,169.00	£0.00	£18.00	£0.00	£0.00	£0.00	£1,249.00	£0.00	0	£0.00	0	£223.00	8
Cryer	Mrs Ann	£158,190.00	£145,838.00	£12,352.00	£19,765.00	£0.00	£20,269.00	£91,316.00	£1,845.00	£2,989.00	£1,350.00	£0.00	£8,304.00	£1,351.00	£9,306.00	£329.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,366.00	12
Blackman-Woods	Dr Roberta	£158,136.00	£143,722.00	£14,414.00	£23,041.00	£0.00	£19,063.00	£84,254.00	£2,251.00	£2,116.00	£1,124.00	£0.00	£11,873.00	£1,680.00	£11,741.00	£441.00	£13.00	£0.00	£0.00	£0.00	£0.00	£409.00	7	£0.00	0	£130.00	1
Griffiths	Nigel	£158,067.00	£142,149.00	£15,918.00	£15,943.00	£0.00	£23,461.00	£81,799.00	£1,022.00	£5,215.00	£1,445.00	£0.00	£13,264.00	£0.00	£2,825.00	£12,926.00	£0.00	£0.00	£0.00	£0.00	£0.00	£167.00	2	£0.00	0	£0.00	0
Burgon	Colin	£157,931.00	£147,197.00	£10,734.00	£22,500.00	£0.00	£20,433.00	£89,870.00	£783.00	£1,530.00	£1,215.00	£0.00	£10,866.00	£4,143.00	£5,403.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£545.00	6	£643.00	6
Younger-Ross	Richard	£157,841.00	£144,449.00	£13,392.00	£22,228.00	£0.00	£29,819.00	£78,978.00	£1,482.00	£274.00	£1,148.00	£0.00	£10,520.00	£4,396.00	£5,596.00	£0.00	£16.00	£0.00	£140.00	£0.00	£0.00	£2,386.00	20	£0.00	0	£858.00	8
Pearson	Ian	£157,725.00	£150,481.00	£7,244.00	£23,005.00	£0.00	£25,243.00	£86,225.00	£1,637.00	£4,577.00	£1,446.00	£0.00	£8,348.00	£5,117.00	£549.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,524.00	28	£54.00	2	£0.00	0
Blizzard	Mr Bob	£157,719.00	£151,960.00	£5,759.00	£23,082.00	£0.00	£21,080.00	£90,485.00	£1,112.00	£3,522.00	£1,000.00	£1,411.00	£10,268.00	£4,460.00	£730.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£103.00	2	£0.00	0	£466.00	18
Mitchell	Mr Andrew	£157,665.00	£150,473.00	£7,192.00	£22,831.00	£0.00	£20,768.00	£90,012.00	£1,478.00	£3,107.00	£1,255.00	£0.00	£11,022.00	£4,499.00	£358.00	£0.00	£0.00	£65.00	£228.00	£0.00	£253.00	£1,355.00	28	£0.00	0	£434.00	12
Hope	Phil	£157,646.00	£151,173.00	£6,473.00	£21,361.00	£0.00	£20,793.00	£90,656.00	£1,988.00	£4,914.00	£1,345.00	£0.00	£10,116.00	£1,970.00	£3,875.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£628.00	20	£0.00	0	£0.00	0
Smith	Rt Hon Jacqui	£157,631.00	£145,331.00	£12,300.00	£22,948.00	£0.00	£16,688.00	£92,587.00	£2,241.00	£1,765.00	£535.00	£0.00	£8,567.00	£482.00	£7,070.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£2,531.00	25	£485.00	8	£1,732.00	17
Strang	Rt Hon Gavin	£157,571.00	£132,319.00	£25,252.00	£11,081.00	£0.00	£15,421.00	£93,265.00	£400.00	£1,136.00	£1,365.00	£0.00	£9,651.00	£1,278.00	£6,448.00	£12,504.00	£736.00	£0.00	£0.00	£0.00	£0.00	£4,286.00	21	£0.00	0	£0.00	0
Touhig	Rt Hon Don	£157,499.00	£148,570.00	£8,929.00	£23,080.00	£0.00	£15,989.00	£94,203.00	£732.00	£1,675.00	£1,339.00	£0.00	£11,552.00	£1,775.00	£5,117.00	£0.00	£0.00	£0.00	£153.00	£0.00	£0.00	£1,297.00	12	£0.00	0	£587.00	6
Mulholland	Greg	£157,358.00	£147,992.00	£9,366.00	£23,083.00	£0.00	£24,371.00	£84,532.00	£1,642.00	£3,180.00	£1,174.00	£0.00	£10,010.00	£1,851.00	£6,460.00	£335.00	£0.00	£0.00	£227.00	£0.00	£0.00	£0.00	0	£0.00	0	£493.00	7
Neill	Bob	£157,332.00	£152,794.00	£4,538.00	£19,108.00	£0.00	£17,130.00	£102,055.00	£880.00	£2,075.00	£337.00	£0.00	£11,209.00	£4,045.00	£367.00	£0.00	£57.00	£27.00	£42.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Palmer	Dr Nick	£157,329.00	£148,436.00	£8,893.00	£23,057.00	£0.00	£19,125.00	£92,719.00	£450.00	£1,606.00	£1,295.00	£189.00	£9,995.00	£1,961.00	£5,893.00	£0.00	£0.00	£0.00	£0.00	£0.00	£236.00	£0.00	0	£0.00	0	£803.00	24
Malik	Mr Shahid	£157,255.00	£146,853.00	£10,402.00	£23,083.00	£0.00	£28,358.00	£78,083.00	£1,167.00	£4,832.00	£1,259.00	£0.00	£10,071.00	£6,847.00	£2,798.00	£515.00	£60.00	£0.00	£0.00	£182.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Swinson	Jo	£157,241.00	£142,500.00	£14,741.00	£23,083.00	£0.00	£18,618.00	£90,410.00	£693.00	£2,937.00	£1,202.00	£0.00	£5,557.00	£1,318.00	£3,288.00	£7,955.00	£1,527.00	£0.00	£42.00	£0.00	£0.00	£0.00	0	£0.00	0	£611.00	11
Snelgrove	Anne	£157,229.00	£148,369.00	£8,860.00	£20,913.00	£0.00	£21,605.00	£89,656.00	£2,917.00	£3,277.00	£1,078.00	£0.00	£8,923.00	£2,853.00	£5,096.00	£0.00	£264.00	£0.00	£25.00	£0.00	£0.00	£90.00	2	£0.00	0	£532.00	18
Hepburn	Mr Stephen	£157,125.00	£142,291.00	£14,834.00	£23,056.00	£0.00	£20,206.00	£88,408.00	£321.00	£916.00	£1,412.00	£0.00	£7,972.00	£2,446.00	£12,041.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£347.00	2
Campbell	Rt Hon Sir Menzies	£157,112.00	£141,431.00	£15,681.00	£22,570.00	£0.00	£13,039.00	£90,794.00	£797.00	£2,883.00	£1,323.00	£6,731.00	£3,294.00	£482.00	£2,895.00	£11,029.00	£0.00	£0.00	£0.00	£0.00	£0.00	£955.00	6	£0.00	0	£320.00	2
Taylor	Ms Dari	£157,106.00	£135,918.00	£21,188.00	£21,170.00	£0.00	£16,995.00	£74,166.00	£3,028.00	£3,175.00	£1,142.00	£10,094.00	£6,148.00	£5,132.00	£13,117.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,864.00	18	£0.00	0	£1,075.00	10
Anderson	Mr David	£157,094.00	£143,186.00	£13,908.00	£21,652.00	£0.00	£15,305.00	£90,494.00	£78.00	£0.00	£1,168.00	£7,752.00	£6,737.00	£2,357.00	£9,845.00	£424.00	£0.00	£0.00	£0.00	£0.00	£0.00	£218.00	3	£0.00	0	£1,064.00	11
Caborn	Rt Hon Richard	£157,059.00	£140,993.00	£16,066.00	£21,755.00	£0.00	£19,794.00	£90,784.00	£633.00	£2,184.00	£1,170.00	£0.00	£4,673.00	£4,999.00	£9,368.00	£0.00	£0.00	£0.00	£0.00	£0.00	£386.00	£453.00	4	£0.00	0	£860.00	8
Soulsby	Sir Peter	£156,951.00	£147,843.00	£9,108.00	£23,051.00	£0.00	£20,948.00	£89,985.00	£1,189.00	£3,830.00	£987.00	£0.00	£7,853.00	£166.00	£5,448.00	£0.00	£975.00	£0.00	£0.00	£0.00	£0.00	£1,937.00	30	£0.00	0	£582.00	12
Wilson	Sammy	£156,932.00	£135,957.00	£20,975.00	£14,557.00	£0.00	£19,154.00	£88,089.00	£631.00	£2,240.00	£1,355.00	£0.00	£9,931.00	£1,680.00	£1,478.00	£15,451.00	£0.00	£0.00	£0.00	£0.00	£1,495.00	£0.00	0	£0.00	0	£871.00	4
Foster	Mr Don	£156,906.00	£151,209.00	£5,697.00	£22,754.00	£0.00	£20,266.00	£93,729.00	£978.00	£1,792.00	£1,346.00	£1,148.00	£9,196.00	£3,528.00	£963.00	£0.00	£0.00	£0.00	£95.00	£0.00	£569.00	£542.00	16	£0.00	0	£0.00	0
McGrady	Mr Eddie	£156,902.00	£140,656.00	£16,246.00	£9,295.00	£0.00	£25,537.00	£86,078.00	£466.00	£1,140.00	£1,225.00	£6,757.00	£10,158.00	£5,369.00	£1,038.00	£9,839.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Clark	Ms Katy	£156,852.00	£140,369.00	£16,483.00	£16,661.00	£0.00	£23,778.00	£87,140.00	£494.00	£1,335.00	£1,189.00	£0.00	£9,772.00	£1,515.00	£2,026.00	£8,986.00	£1,883.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£2,073.00	14
Rosindell	Andrew	£156,832.00	£152,284.00	£4,548.00	£23,083.00	£0.00	£20,188.00	£90,885.00	£1,567.00	£5,315.00	£1,332.00	£0.00	£9,914.00	£2,512.00	£289.00	£0.00	£0.00	£64.00	£0.00	£0.00	£1,650.00	£0.00	0	£0.00	0	£33.00	10
McDonnell	Dr Alasdair	£156,830.00	£146,895.00	£9,935.00	£23,083.00	£0.00	£16,967.00	£94,769.00	£209.00	£864.00	£1,202.00	£0.00	£9,801.00	£1,540.00	£1,223.00	£6,373.00	£174.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£320.00	2	£305.00	2
Russell	Christine	£156,749.00	£146,205.00	£10,544.00	£21,359.00	£0.00	£25,396.00	£86,447.00	£1,179.00	£3,038.00	£1,219.00	£0.00	£7,567.00	£3,590.00	£6,461.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£493.00	7
Kawczynski	Daniel	£156,737.00	£146,176.00	£10,561.00	£21,890.00	£0.00	£20,722.00	£88,093.00	£255.00	£780.00	£992.00	£0.00	£13,444.00	£3,447.00	£4,066.00	£0.00	£504.00	£0.00	£87.00	£0.00	£2,007.00	£68.00	2	£0.00	0	£382.00	7
Vis	Dr Rudi	£156,728.00	£150,823.00	£5,905.00	£23,083.00	£0.00	£21,328.00	£88,910.00	£2,104.00	£4,630.00	£1,378.00	£0.00	£9,390.00	£5,292.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£613.00	£0.00	0	£0.00	0	£0.00	0
Heald	Mr Oliver	£156,594.00	£147,995.00	£8,599.00	£22,979.00	£0.00	£20,979.00	£89,679.00	£831.00	£3,187.00	£1,083.00	£0.00	£9,257.00	£3,246.00	£3,870.00	£0.00	£0.00	£0.00	£315.00	£0.00	£0.00	£572.00	30	£74.00	8	£522.00	24
Plaskitt	Mr James	£156,552.00	£151,736.00	£4,816.00	£22,884.00	£0.00	£20,571.00	£90,096.00	£1,953.00	£5,042.00	£1,349.00	£0.00	£9,841.00	£4,593.00	£22.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£201.00	15
Laws	Mr David	£156,511.00	£148,375.00	£8,136.00	£19,251.00	£0.00	£21,425.00	£90,287.00	£987.00	£5,186.00	£1,332.00	£0.00	£9,907.00	£6,430.00	£1,056.00	£0.00	£0.00	£0.00	£526.00	£0.00	£0.00	£0.00	0	£0.00	0	£124.00	8
Etherington	Bill	£156,467.00	£139,259.00	£17,208.00	£22,922.00	£0.00	£16,323.00	£95,465.00	£329.00	£1,907.00	£1,227.00	£1,086.00	£0.00	£4,433.00	£6,651.00	£0.00	£0.00	£0.00	£185.00	£0.00	£608.00	£3,080.00	30	£0.00	0	£2,251.00	12
Lansley	Mr Andrew	£156,411.00	£149,032.00	£7,379.00	£21,399.00	£0.00	£18,067.00	£93,046.00	£1,180.00	£3,913.00	£1,178.00	£305.00	£9,944.00	£3,125.00	£1,822.00	£0.00	£46.00	£72.00	£1,322.00	£179.00	£385.00	£428.00	16	£0.00	0	£0.00	0
Kumar	Dr Ashok	£156,385.00	£141,057.00	£15,328.00	£23,083.00	£0.00	£12,034.00	£90,972.00	£769.00	£2,666.00	£1,109.00	£0.00	£10,424.00	£4,695.00	£10,388.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£245.00	8
Clelland	Mr David	£156,383.00	£131,364.00	£25,019.00	£17,279.00	£0.00	£21,358.00	£87,423.00	£378.00	£558.00	£1,375.00	£0.00	£2,993.00	£2,303.00	£6,797.00	£9,301.00	£35.00	£0.00	£0.00	£0.00	£0.00	£5,298.00	29	£0.00	0	£1,285.00	8
Simpson	Alan	£156,286.00	£144,637.00	£11,649.00	£23,083.00	£0.00	£21,310.00	£90,505.00	£1,509.00	£4,030.00	£1,142.00	£0.00	£3,058.00	£3,200.00	£5,662.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,020.00	14	£0.00	0	£1,767.00	24
Francis	Dr Hywel	£156,279.00	£144,896.00	£11,383.00	£23,083.00	£0.00	£17,312.00	£90,366.00	£337.00	£1,195.00	£1,157.00	£0.00	£11,446.00	£1,929.00	£6,064.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£2,895.00	25	£0.00	0	£495.00	6
Hood	Mr Jim	£156,260.00	£137,276.00	£18,984.00	£19,353.00	£0.00	£26,267.00	£78,805.00	£1,011.00	£1,635.00	£1,061.00	£0.00	£9,144.00	£7,250.00	£1,820.00	£7,863.00	£1,031.00	£0.00	£57.00	£0.00	£0.00	£0.00	0	£0.00	0	£963.00	5
Baron	Mr John	£156,257.00	£152,839.00	£3,418.00	£23,083.00	£0.00	£13,167.00	£98,653.00	£1,297.00	£5,355.00	£1,375.00	£0.00	£9,909.00	£2,464.00	£928.00	£0.00	£0.00	£0.00	£26.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Hayes	Mr John	£156,255.00	£146,582.00	£9,673.00	£22,733.00	£0.00	£21,300.00	£90,543.00	£1,900.00	£4,131.00	£1,347.00	£0.00	£4,628.00	£5,161.00	£2,901.00	£0.00	£0.00	£62.00	£580.00	£0.00	£0.00	£691.00	18	£50.00	2	£228.00	7
