Diane	Abbott	Hackney North & Stoke Newington	£0	£1,574	£18,789	£68,114	£4,761	£0	£810	£280	£2,038	£0
Gerry	Adams	Belfast West	£18,268	£0	£18,798	£64,263	£5,653	£0	£79	£475	£1,779	£0
Irene	Adams	Paisley North	£19,860	£0	£18,789	£67,972	£22,583	£6,053	£0	£0	£1,837	£0
Nick	Ainger	Carmarthen West & South Pembrokeshire	£10,651	£1,574	£11,603	£68,023	£11,757	£302	£1,161	£3,417	£1,888	£0
Bob	Ainsworth	Coventry North East	£17,519	£1,574	£17,972	£65,954	£11,200	£438	£737	£2,686	£1,818	£0
Peter	Ainsworth	East Surrey	£20,333	£0	£16,494	£70,274	£2,179	£14	£1,086	£2,719	£1,940	£0
Douglas	Alexander	Paisley South	£20,244	£1,574	£18,799	£66,091	£13,989	£459	£5,889	£17,395	£1,922	£0
Richard	Allan	Sheffield, Hallam	£15,389	£0	£18,629	£64,549	£5,901	£0	£877	£2,811	£1,984	£0
Graham	Allen	Nottingham North	£20,332	£0	£18,799	£71,682	£17,337	£621	£2,412	£9,969	£1,563	£0
David	Amess	Southend West	£18,638	£0	£18,626	£74,985	£7,697	£149	£748	£2,512	£1,994	£0
Michael	Ancram	Devizes	£14,428	£0	£16,111	£67,916	£8,874	£495	£672	£1,949	£1,575	£0
Donald	Anderson	Swansea East	£20,333	£0	£18,799	£73,648	£9,672	£128	£433	£285	£1,560	£0
Janet	Anderson	Rossendale & Darwen	£20,333	£0	£18,799	£67,969	£19,474	£2,801	£1,928	£3,371	£1,104	£0
James	Arbuthnot	North East Hampshire	£20,318	£0	£18,799	£68,025	£5,057	£0	£378	£694	£1,567	£0
Hilary	Armstrong	North West Durham	£13,188	£1,574	£18,570	£60,253	£11,126	£1,016	£1,761	£3,420	£1,861	£0
Candy	Atherton	Falmouth & Camborne	£19,542	£0	£18,799	£66,793	£15,948	£1,639	£2,041	£7,046	£1,954	£2,115
Charlotte	Atkins	Staffordshire Moorlands	£20,333	£1,255	£18,753	£62,149	£10,217	£1,257	£1,296	£2,772	£1,670	£0
David	Atkinson	Bournemouth East	£20,101	£0	£18,553	£64,273	£7,070	£1,233	£296	£1,064	£1,769	£0
Peter	Atkinson	Hexham	£20,333	£0	£18,788	£66,665	£16,118	£3,048	£541	£2,280	£1,504	£0
John	Austin	Erith & Thamesmead	£18,754	£0	£18,799	£64,189	£3,079	£0	£1,050	£3,282	£1,622	£0
