Diane	Abbott	Hackney North & Stoke Newington	£0	£1,227	£13,965	£46,812	£4,581	£0	£1,780	£2,038	£0
Gerry	Adams	Belfast West	£0	£0	£4,304	£6,895	£315	£208	£125	£0	£0
Irene	Adams	Paisley North	£12,899	£0	£15,802	£44,961	£18,485	£1,783	£415	£1,807	£0
Nick	Ainger	Carmarthen West & South Pembrokeshire	£15,923	£1,130	£20,545	£42,523	£9,513	£0	£906	£1,888	£0
Bob	Ainsworth	Coventry North East	£16,232	£1,227	£14,913	£46,289	£10,304	£468	£687	£1,132	£0
Peter	Ainsworth	East Surrey	£14,607	£0	£9,137	£50,404	£3,268	£0	£1,154	£1,940	£0
Douglas	Alexander	Paisley South	£13,209	£1,130	£21,101	£25,190	£9,933	£675	£2,148	£1,428	£0
Richard	Allan	Sheffield, Hallam	£12,139	£0	£18,026	£44,559	£4,879	£630	£1,376	£1,984	£0
Graham	Allen	Nottingham North	£17,009	£17	£20,159	£35,942	£13,007	£0	£1,543	£1,563	£1,500
David	Amess	Southend West	£16,873	£0	£19,444	£47,231	£5,131	£0	£1,260	£1,994	£0
Michael	Ancram	Devizes	£11,966	£0	£10,273	£47,183	£9,024	£0	£757	£1,219	£0
Donald	Anderson	Swansea East	£15,879	£0	£10,033	£58,117	£8,140	£195	£1,146	£1,094	£0
Janet	Anderson	Rossendale & Darwen	£11,192	£17	£29,520	£32,166	£28,014	£1,356	£1,575	£1,104	£0
James	Arbuthnot	North East Hampshire	£15,809	£1,101	£9,062	£52,343	£4,823	£0	£739	£1,567	£0
Hilary	Armstrong	North West Durham	£15,205	£1,227	£16,196	£45,735	£5,360	£944	£1,265	£1,861	£4,324
Candy	Atherton	Falmouth & Camborne	£13,879	£0	£16,279	£59,488	£11,517	£1,309	£1,885	£1,954	£0
Charlotte	Atkins	Staffordshire Moorlands	£15,919	£0	£19,391	£44,630	£10,860	£1,375	£284	£1,670	£0
David	Atkinson	Bournemouth East	£14,973	£0	£10,200	£55,897	£6,172	£425	£414	£774	£0
Peter	Atkinson	Hexham	£14,638	£0	£13,975	£44,885	£12,506	£2,430	£631	£1,122	£0
John	Austin	Erith & Thamesmead	£14,838	£0	£12,211	£46,849	£3,877	£0	£680	£1,622	£0
Richard	Bacon	South Norfolk	£18,009	£0	£20,612	£51,881	£8,370	£1,021	£2,814	£1,880	£0
Adrian	Bailey	West Bromwich West	£13,957	£0	£16,661	£50,315	£5,749	£838	£797	£1,837	£0
Vera	Baird	Redcar	£18,009	£0	£27,381	£44,208	£10,269	£1,629	£1,896	£1,767	£0
Norman	Baker	Lewes	£13,340	£0	£19,556	£40,932	£3,933	£63	£1,322	£1,876	£0
Tony	Baldry	Banbury	£14,600	£0	£10,946	£57,264	£5,726	£125	£1,521	£1,447	£0
Tony	Banks	West Ham	£14,664	£0	£18,168	£40,189	£3,609	£0	£1,031	£1,948	£0
Gregory	Barker	Bexhill & Battle	£18,001	£0	£20,943	£55,997	£4,323	£633	£778	£1,961	£0
Harry	Barnes	North East Derbyshire	£16,354	£0	£2,921	£50,567	£6,642	£1,068	£1,297	£0	£0
John	Baron	Billericay	£18,009	£0	£9,729	£64,410	£4,196	£90	£1,352	£1,922	£0
John	Barrett	Edinburgh West	£18,009	£0	£20,937	£38,678	£11,200	£3,357	£1,683	£1,502	£0
Kevin	Barron	Rother Valley	£14,909	£0	£18,157	£48,975	£17,111	£1,016	£1,089	£1,556	£0
John	Battle	Leeds West	£16,055	£13	£12,032	£46,065	£9,149	£598	£908	£1,929	£0
Hugh	Bayley	York, City of	£16,873	£13	£16,002	£46,001	£10,637	£1,149	£1,219	£1,690	£0
Nigel	Beard	Bexleyheath & Crayford	£18,009	£0	£7,126	£44,245	£6,487	£0	£756	£562	£0
Margaret	Beckett	Derby South	£16,586	£0	£3,474	£50,583	£0	£0	£1,240	£940	£0
Anne	Begg	Aberdeen South	£15,790	£0	£20,241	£62,422	£11,659	£3,095	£1,487	£1,488	£0
Roy	Beggs	East Antrim	£14,914	£0	£19,273	£39,114	£13,206	£1,387	£701	£0	£0
A J	Beith	Berwick-upon-Tweed	£17,329	£0	£20,525	£44,222	£11,429	£1,706	£729	£1,475	£0
Stuart	Bell	Middlesbrough	£15,734	£0	£19,187	£46,530	£20,023	£2,803	£229	£1,179	£0
Henry	Bellingham	North West Norfolk	£18,009	£0	£22,434	£44,696	£7,031	£423	£1,166	£1,901	£0
Hilary	Benn	Leeds Central	£15,291	£1,130	£19,897	£38,117	£7,419	£194	£899	£2,053	£0
Andrew	Bennett	Denton & Reddish	£16,009	£0	£14,848	£47,463	£12,335	£560	£1,586	£1,658	£0
Joe	Benton	Bootle	£14,859	£0	£12,963	£34,387	£9,218	£726	£547	£1,900	£0
John	Bercow	Buckingham	£15,671	£0	£6,716	£57,256	£9,417	£137	£836	£1,604	£11,378
Paul	Beresford	Mole Valley	£14,750	£0	£16,223	£32,900	£3,482	£0	£1,032	£0	£0
Roger	Berry	Kingswood	£16,111	£0	£15,834	£44,920	£6,215	£504	£1,879	£2,042	£331
Harold	Best	Leeds North West	£11,553	£0	£10,851	£44,415	£6,409	£591	£661	£1,900	£0
Clive	Betts	Sheffield, Attercliffe	£15,609	£17	£20,668	£45,043	£11,096	£646	£964	£1,888	£0
Liz	Blackman	Erewash	£15,838	£0	£19,108	£45,543	£7,356	£631	£475	£1,907	£0
Tony	Blair	Sedgefield	£8,001	£0	£10,348	£45,789	£0	£715	£402	£1,876	£0
Hazel	Blears	Salford	£15,609	£1,130	£11,592	£46,715	£8,485	£1,260	£1,750	£1,925	£0
Bob	Blizzard	Waveney	£16,869	£0	£11,886	£45,255	£5,695	£164	£1,317	£1,888	£581
David	Blunkett	Sheffield, Brightside	£14,700	£0	£6,627	£36,314	£1,905	£0	£939	£0	£0
Crispin	Blunt	Reigate	£14,764	£0	£8,163	£58,126	£5,061	£0	£731	£1,921	£0
Paul	Boateng	Brent South	£13,725	£1,227	£3,837	£63,561	£3,315	£0	£1,120	£2,015	£0
David	Borrow	South Ribble	£15,745	£0	£16,105	£45,481	£8,297	£765	£1,476	£1,950	£0
Tim	Boswell	Daventry	£5,116	£0	£9,952	£47,291	£3,475	£0	£663	£1,920	£0
Peter	Bottomley	Worthing West	£6,206	£0	£19,941	£40,133	£6,303	£15	£560	£1,898	£0
Virginia	Bottomley	South West Surrey	£13,922	£0	£30,695	£36,659	£4,031	£55	£1,017	£1,953	£0
Keith	Bradley	Manchester, Withington	£13,794	£1,227	£21,191	£38,512	£13,256	£252	£2,431	£1,979	£0
Peter	Bradley	Wrekin, The	£16,375	£0	£25,913	£42,233	£6,284	£600	£1,541	£1,921	£0
Ben	Bradshaw	Exeter	£12,672	£1,130	£12,647	£51,087	£2,790	£960	£1,013	£1,877	£0
Graham	Brady	Altrincham & Sale West	£13,534	£0	£12,527	£51,026	£10,702	£2,358	£999	£1,964	£0
Tom	Brake	Carshalton & Wallington	£0	£1,227	£12,718	£50,696	£2,723	£0	£1,424	£1,963	£0
Julian	Brazier	Canterbury	£10,818	£0	£20,003	£46,417	£3,621	£0	£1,269	£1,944	£0
Colin	Breed	South East Cornwall	£13,692	£0	£12,593	£32,739	£9,464	£295	£835	£1,929	£0
Kevin	Brennan	Cardiff West	£18,009	£0	£16,004	£37,179	£6,670	£1,204	£894	£1,968	£0
Annette	Brooke	Mid Dorset & North Poole	£14,930	£0	£19,260	£42,535	£4,436	£479	£810	£1,968	£0
Gordon	Brown	Dunfermline East	£11,186	£0	£5,979	£60,546	£10,759	£3,052	£1,465	£1,880	£0
Nick	Brown	Newcastle upon Tyne East & Wallsend	£14,381	£1,227	£7,122	£59,163	£12,045	£5,606	£818	£1,966	£0
Russell	Brown	Dumfries	£15,788	£0	£18,923	£42,383	£11,394	£2,107	£3,858	£1,977	£0
Des	Browne	Kilmarnock & Loudoun	£10,157	£1,130	£17,991	£44,481	£6,317	£1,211	£1,753	£1,892	£0
Angela	Browning	Tiverton & Honiton	£15,400	£0	£7,516	£57,350	£10,027	£0	£708	£1,483	£0
Malcolm	Bruce	Gordon	£13,840	£0	£10,969	£52,140	£16,416	£2,931	£483	£1,970	£2,219
Chris	Bryant	Rhondda	£18,009	£0	£35,384	£41,551	£9,243	£543	£2,664	£1,907	£0
Karen	Buck	Regent's Park & Kensington North	£0	£1,227	£16,217	£52,981	£756	£0	£2,476	£1,822	£0
Richard	Burden	Birmingham, Northfield	£16,724	£0	£18,100	£46,231	£6,933	£765	£1,444	£1,973	£0
Colin	Burgon	Elmet	£15,171	£0	£21,788	£43,898	£10,810	£1,744	£1,307	£1,877	£0
John	Burnett	Torridge & West Devon	£12,913	£0	£3,474	£56,154	£14,918	£517	£989	£2,022	£0
Andy	Burnham	Leigh	£18,009	£0	£42,134	£32,181	£6,712	£231	£1,367	£1,938	£0
Simon	Burns	West Chelmsford	£12,278	£0	£13,857	£43,557	£6,106	£76	£1,545	£1,875	£0
David	Burnside	South Antrim	£15,625	£0	£30,981	£42,774	£16,859	£1,185	£244	£1,943	£0
Paul	Burstow	Sutton & Cheam	£0	£1,227	£15,459	£54,513	£2,955	£48	£1,696	£1,878	£0
Alistair	Burt	North East Bedfordshire	£11,825	£0	£23,130	£51,185	£8,995	£211	£511	£1,532	£0
John	Butterfill	Bournemouth West	£15,738	£0	£9,328	£55,423	£5,274	£61	£441	£1,410	£0
Stephen	Byers	North Tyneside	£17,025	£1,227	£15,036	£27,800	£10,679	£394	£374	£1,562	£0
Vincent	Cable	Twickenham	£41	£0	£12,942	£56,034	£3,061	£0	£2,777	£2,010	£0
Richard	Caborn	Sheffield Central	£15,740	£1,227	£5,940	£46,573	£12,578	£405	£940	£1,094	£2,250
David	Cairns	Greenock & Inverclyde	£18,000	£0	£26,729	£23,092	£16,989	£382	£1,741	£1,968	£0
Patsy	Calton	Cheadle	£16,891	£0	£18,155	£46,612	£12,941	£896	£1,308	£1,850	£0
David	Cameron	Witney	£18,009	£0	£17,204	£57,267	£4,657	£68	£1,286	£1,907	£0
Alan	Campbell	Tynemouth	£15,569	£0	£19,888	£37,165	£13,778	£1,477	£515	£1,943	£0
Anne	Campbell	Cambridge	£10,767	£0	£20,392	£45,785	£1,714	£0	£1,408	£1,787	£0
Gregory	Campbell	East Londonderry	£17,315	£0	£53,315	£16,753	£13,530	£16	£576	£2,010	£0
Menzies	Campbell	North East Fife	£13,686	£0	£12,642	£46,414	£14,875	£1,258	£1,254	£0	£0
Ronnie	Campbell	Blyth Valley	£16,209	£0	£17,528	£44,983	£16,558	£1,935	£871	£1,866	£0
Ivor	Caplin	Hove	£16,000	£1,130	£12,274	£43,591	£9,850	£74	£1,490	£1,987	£0
Alistair	Carmichael	Orkney & Shetland	£17,490	£0	£23,723	£48,806	£19,507	£5,602	£1,908	£1,042	£0
Roger	Casale	Wimbledon	£15,809	£0	£8,242	£45,601	£3,858	£0	£695	£1,953	£1,343
William	Cash	Stone	£15,500	£0	£6,504	£50,758	£12,128	£731	£613	£917	£0
Martin	Caton	Gower	£15,337	£0	£12,391	£44,966	£6,999	£0	£256	£1,562	£0
Ian	Cawsey	Brigg & Goole	£15,739	£0	£21,057	£35,195	£15,916	£1,098	£717	£2,034	£0
Colin	Challen	Morley & Rothwell	£17,449	£0	£21,987	£43,065	£7,940	£2,192	£1,721	£1,831	£0
Ben	Chapman	Wirral South	£16,361	£0	£26,968	£30,544	£16,433	£0	£1,156	£1,572	£0
Sydney	Chapman	Chipping Barnet	£11,058	£0	£10,273	£56,968	£2,550	£0	£1,524	£1,903	£0
David	Chaytor	Bury North	£10,831	£0	£24,405	£35,162	£9,236	£766	£1,591	£1,966	£0
David	Chidgey	Eastleigh	£16,300	£0	£16,550	£45,456	£10,544	£448	£784	£1,953	£0
Christopher	Chope	Christchurch	£15,072	£0	£13,372	£37,222	£7,105	£1,378	£1,008	£444	£0
Michael	Clapham	Barnsley West & Penistone	£14,690	£0	£11,629	£42,431	£8,930	£1,044	£1,134	£985	£0
James	Clappison	Hertsmere	£14,174	£0	£5,315	£48,769	£5,603	£0	£327	£0	£0
Helen	Clark	Peterborough	£14,989	£0	£10,312	£51,666	£5,094	£0	£1,339	£1,791	£0
Lynda	Clark	Edinburgh, Pentlands	£12,660	£1,227	£9,799	£33,165	£7,757	£218	£570	£0	£0
Paul	Clark	Gillingham	£15,502	£0	£24,503	£39,478	£6,062	£0	£1,581	£1,974	£0
Charles	Clarke	Norwich South	£15,734	£4	£23,387	£41,605	£5,371	£245	£2,698	£1,459	£0
Kenneth	Clarke	Rushcliffe	£10,909	£0	£2,662	£52,985	£4,269	£376	£1,094	£1,457	£0
Tom	Clarke	Coatbridge & Chryston	£16,023	£0	£18,910	£44,565	£15,572	£979	£626	£118	£0
Tony	Clarke	Northampton South	£14,784	£0	£15,456	£47,437	£3,999	£208	£1,102	£1,954	£270
David	Clelland	Tyne Bridge	£15,789	£17	£21,388	£30,862	£15,509	£1,035	£0	£1,934	£0
Geoffrey	Clifton-Brown	Cotswold	£13,774	£0	£12,587	£45,361	£3,939	£90	£945	£2,002	£193
Ann	Clwyd	Cynon Valley	£18,009	£0	£16,434	£32,578	£5,163	£0	£661	£1,975	£0
Vernon	Coaker	Gedling	£13,675	£0	£19,027	£41,526	£6,044	£761	£2,223	£1,923	£391
Ann	Coffey	Stockport	£13,950	£0	£22,984	£40,922	£12,285	£1,020	£1,031	£2,021	£0
Harry	Cohen	Leyton & Wanstead	£15,909	£0	£14,284	£46,142	£2,081	£0	£946	£1,380	£0
Iain	Coleman	Hammersmith & Fulham	£0	£1,227	£15,290	£45,034	£1,690	£0	£1,341	£1,617	£0
Tim	Collins	Westmorland & Lonsdale	£14,174	£0	£21,547	£37,729	£8,468	£119	£1,181	£1,898	£0
Tony	Colman	Putney	£0	£1,227	£8,127	£51,909	£0	£0	£1,624	£1,885	£0
Michael	Connarty	Falkirk East	£15,901	£0	£22,435	£36,099	£14,627	£1,595	£679	£1,027	£430
Derek	Conway	Old Bexley & Sidcup	£18,009	£0	£24,698	£54,491	£1,334	£0	£1,835	£1,979	£0
Frank	Cook	Stockton North	£11,814	£0	£24,517	£37,287	£13,461	£0	£1,282	£1,527	£0
Robin	Cook	Livingston	£15,549	£0	£19,520	£35,132	£6,289	£689	£230	£458	£0
Yvette	Cooper	Pontefract & Castleford	£15,738	£1,227	£13,476	£48,653	£6,422	£1,134	£1,663	£1,528	£0
Jeremy	Corbyn	Islington North	£0	£1,227	£16,447	£52,295	£1,372	£0	£2,442	£1,793	£0
Patrick	Cormack	South Staffordshire	£13,289	£0	£18,867	£47,777	£6,288	£0	£1,881	£544	£0
Jean	Corston	Bristol East	£14,904	£0	£13,692	£51,559	£9,912	£380	£1,590	£1,952	£0
Brian	Cotter	Weston-Super-Mare	£14,494	£0	£12,721	£51,976	£6,979	£0	£829	£1,817	£0
Jim	Cousins	Newcastle upon Tyne Central	£15,740	£0	£20,488	£42,732	£15,409	£233	£1,319	£1,961	£4,834
Tom	Cox	Tooting	£0	£1,227	£14,585	£43,037	£10,475	£0	£790	£852	£0
James	Cran	Beverley & Holderness	£14,690	£1,101	£4,809	£40,041	£8,832	£0	£366	£0	£0
Ross	Cranston	Dudley North	£3,302	£4	£7,154	£52,272	£6,339	£456	£665	£1,958	£0
David	Crausby	Bolton North East	£15,991	£0	£18,666	£48,255	£13,477	£925	£1,682	£1,882	£0
Jon	Cruddas	Dagenham	£14,854	£0	£37,004	£38,807	£4,345	£0	£1,114	£1,968	£0
Ann	Cryer	Keighley	£15,110	£0	£12,443	£50,496	£8,015	£212	£731	£1,773	£0
John	Cryer	Hornchurch	£13,050	£0	£18,572	£49,044	£981	£0	£1,046	£1,934	£0
John	Cummings	Easington	£15,590	£0	£8,100	£55,405	£17,870	£1,220	£646	£1,921	£0
Jack	Cunningham	Copeland	£15,744	£0	£17,422	£44,272	£13,945	£0	£451	£1,612	£0
Jim	Cunningham	Coventry South	£14,140	£0	£11,900	£50,591	£10,110	£120	£382	£1,862	£0
Tony	Cunningham	Workington	£18,000	£0	£12,576	£46,411	£6,724	£1,339	£855	£1,737	£0
