# Members' Allowance Expenditure April 2005 ­ March 2006
# Member, Constituency, Cost of staying away from main home,
#	London Supplement, Office running costs*, Staffing costs*,
#	Members' travel, Members' staff travel, Centrally purchased
#	stationery, Stationery: associated postage, Central IT
#	provision, (WUA and) Other costs

Abbott, Ms Diane	Hackney North & Stoke Newington	£0	£2,613	£20,225	£83,818	£3,466	£0	£1,091	£2,589	£1,166	£0
Adams, Mr Gerry	Belfast West	£7,500	£0	£8,235	£26,244	£2,123	£370	£0	£0	£1,779	£0
Afriyie, Adam	Windsor	£0	£0	£17,501	£48,858	£0	£0	£506	£600	£860	£0
Ainger, Nick	Carmarthen West & South Pembrokeshire	£13,384	£0	£14,230	£85,974	£2,823	£193	£546	£1,080	£0	£0
Ainsworth, Rt Hon Bob	Coventry North East	£18,911	£0	£28,025	£75,062	£5,995	£182	£599	£1,645	£808	£0
Ainsworth, Mr Peter	East Surrey	£13,501	£0	£19,890	£80,766	£1,153	£12	£953	£1,781	£870	£0
Alexander, Danny	Inverness, Nairn, Badenoch & Strathspey	£16,425	£0	£28,057	£60,412	£21,428	£1,964	£1,048	£2,478	£930	£0
Alexander, Rt Hon Douglas	Paisley & Renfrewshire South	£18,870	£0	£19,766	£68,287	£10,038	£190	£2,541	£8,621	£0	£0
Allen, Mr Graham	Nottingham North	£21,634	£0	£28,400	£62,673	£13,762	£1,067	£2,187	£9,102	£180	£0
Amess, Mr David	Southend West	£21,634	£0	£19,980	£83,916	£6,042	£196	£1,102	£4,559	£941	£6,968
Ancram, Earl of, Rt Hon Michael	Devizes	£14,916	£0	£17,677	£80,416	£6,250	£239	£887	£3,626	£0	£11,304
Anderson, Mr David	Blaydon	£21,614	£0	£26,129	£73,730	£10,540	£803	£2,219	£9,460	£1,195	£0
Anderson, Janet	Rossendale & Darwen	£21,632	£0	£28,412	£75,634	£17,874	£573	£2,261	£5,751	£0	£0
Arbuthnot, Rt Hon James	North East Hampshire	£21,634	£0	£19,935	£79,913	£3,854	£0	£599	£2,145	£292	£0
Armstrong, Rt Hon Hilary	North West Durham	£11,274	£0	£15,301	£66,559	£12,273	£724	£732	£3,928	£0	£0
Atkins, Charlotte	Staffordshire Moorlands	£21,347	£0	£18,331	£85,515	£8,286	£1,024	£3,356	£12,491	£877	£0
Atkinson, Mr Peter	Hexham	£21,634	£0	£19,772	£80,983	£10,243	£133	£571	£2,937	£382	£0
Austin, Mr Ian	Dudley North	£21,559	£0	£25,229	£78,716	£9,921	£490	£4,230	£13,864	£1,233	£0
Austin, John	Erith & Thamesmead	£19,636	£0	£23,945	£80,102	£1,073	£0	£585	£1,927	£749	£0
Bacon, Mr Richard	South Norfolk	£21,634	£0	£20,278	£83,774	£6,644	£399	£1,056	£3,089	£930	£0
Bailey, Mr Adrian	West Bromwich West	£21,485	£0	£17,434	£77,542	£5,314	£645	£1,756	£3,944	£1,247	£0
Baird, Vera QC	Redcar	£19,485	£0	£19,158	£84,923	£12,586	£1,762	£781	£1,460	£0	£0
Baker, Norman	Lewes	£20,814	£0	£21,994	£82,085	£4,839	£124	£1,889	£4,830	£0	£0
Baldry, Tony	Banbury	£12,079	£0	£19,843	£70,557	£4,434	£15	£877	£2,969	£40	£0
Balls, Ed	Normanton	£13,618	£0	£28,400	£75,231	£12,984	£240	£3,345	£9,365	£1,014	£0
Banks, Gordon	Ochil & South Perthshire	£21,468	£0	£26,609	£67,745	£13,567	£604	£1,990	£5,888	£1,014	£0
Barker, Gregory	Bexhill & Battle	£16,996	£0	£18,664	£66,615	£3,337	£77	£396	£1,824	£0	£0
Barlow, Ms Celia	Hove	£21,634	£0	£25,840	£77,934	£9,586	£1,023	£2,198	£9,397	£1,014	£0
Baron, Mr John	Billericay	£21,634	£0	£19,422	£84,569	£4,036	£69	£978	£3,665	£0	£0
Barrett, John	Edinburgh West	£16,821	£0	£20,839	£74,778	£10,170	£2,041	£380	£1,005	£309	£0
Barron, Rt Hon Kevin	Rother Valley	£21,634	£0	£11,393	£92,675	£9,168	£488	£424	£1,200	£978	£0
Battle, Rt Hon John	Leeds West	£16,541	£0	£19,697	£81,323	£9,091	£1,620	£1,133	£3,376	£0	£0
Bayley, Hugh	York, City of	£21,634	£0	£24,044	£80,037	£10,534	£510	£1,577	£4,026	£909	£3,884
Beckett, Rt Hon Margaret	Derby South	£21,415	£0	£4,492	£99,589	£0	£91	£1,332	£5,166	£911	£0
Begg, Miss Anne	Aberdeen South	£21,634	£0	£25,626	£66,504	£16,993	£12,287	£1,231	£2,999	£0	£0
Beith, Rt Hon Alan	Berwick-upon-Tweed	£15,674	£0	£26,706	£64,330	£10,804	£2,851	£571	£2,288	£0	£0
Bellingham, Mr Henry	North West Norfolk	£20,995	£0	£19,381	£74,815	£4,867	£429	£1,093	£3,192	£0	£0
Bell, Sir Stuart	Middlesbrough	£21,633	£0	£6,636	£73,558	£18,661	£2,912	£320	£803	£668	£0
Benn, Rt Hon Hilary	Leeds Central	£9,452	£0	£18,960	£62,278	£7,675	£0	£459	£1,397	£322	£0
Benton, Mr Joe	Bootle	£19,791	£0	£8,847	£81,602	£11,467	£1,122	£1,572	£3,634	£0	£5,161
Benyon, Mr Richard	Newbury	£5,776	£0	£27,525	£67,897	£2,595	£388	£864	£2,396	£1,014	£0
Bercow, John	Buckingham	£21,634	£0	£19,900	£82,511	£5,852	£51	£983	£1,116	£0	£0
Beresford, Sir Paul	Mole Valley	£7,694	£0	£19,094	£79,227	£3,514	£0	£911	£3,460	£739	£0
Berry, Dr Roger	Kingswood	£21,634	£0	£19,989	£79,913	£4,615	£1,048	£1,400	£3,129	£0	£0
Betts, Mr Clive	Sheffield, Attercliffe	£21,634	£0	£19,948	£84,133	£10,631	£333	£942	£3,181	£0	£158
Binley, Mr Brian	Northampton South	£11,131	£0	£23,307	£46,058	£3,935	£57	£934	£2,073	£635	£0
Blackman, Liz	Erewash	£21,632	£0	£19,615	£84,378	£6,096	£643	£1,915	£6,127	£973	£1,269
Blair, Rt Hon Tony	Sedgefield	£8,399	£0	£2,263	£75,612	£202	£0	£179	£687	£0	£0
Blears, Rt Hon Hazel	Salford	£19,385	£0	£17,110	£82,104	£10,437	£581	£634	£1,588	£0	£0
Blizzard, Mr Bob	Waveney	£21,634	£0	£17,092	£86,697	£5,356	£598	£1,462	£4,761	£930	£0
Blunt, Mr Crispin	Reigate	£21,634	£0	£14,310	£81,972	£3,844	£109	£1,447	£2,680	£944	£0
Blunkett, Rt Hon David	Sheffield, Brightside	£21,634	£0	£20,013	£84,056	£5,203	£668	£910	£3,064	£1,014	£0
Bone, Mr Peter	Wellingborough	£21,567	£0	£19,812	£84,232	£4,793	£683	£1,531	£2,110	£1,014	£0
