# Members' Allowance Expenditure April 2006 - March 2007
# Member, Cost of staying away from main home, London supplement
# Office running costs, Staffing costs, Members' travel allowance:
# (Car, 3rd party vehicle mileage & rental, Rail, Air, Other travel, European)
# Members' staff travel, Centrally purchased stationery,
# Stationery: associated postage costs, Central IT provision, Staff cover &
# other costs

Abbott, Ms Diane	£0	£2,712	£20,306	£81,807	£0	£2,412	£3	£0	£0	£0	£0	£2,125	£4,501	£1,166	£0
Adams, Mr Gerry	£16,500	£0	£20,356	£87,269	£1,352	£0	£402	£3,374	£0	£0	£2,035	£52	£364	£1,125	£0
Afriyie, Adam	£0	£0	£19,447	£72,026	£0	£0	£0	£0	£0	£0	£0	£606	£1,945	£860	£0
Ainger, Nick	£13,460	£0	£12,163	£95,551	£3,387	£0	£0	£0	£0	£0	£266	£822	£2,978	£1,050	£0
Ainsworth, Rt Hon Bob	£18,878	£0	£20,807	£78,508	£3,562	£0	£2,583	£0	£0	£0	£0	£755	£2,463	£1,008	£0
Ainsworth, Mr Peter	£14,100	£0	£24,658	£77,737	£1,478	£0	£2,012	£0	£0	£0	£11	£633	£1,671	£1,051	£0
Alexander, Danny	£17,723	£0	£34,965	£75,229	£5,407	£5	£1,841	£16,516	£0	£730	£1,201	£505	£2,101	£930	£0
Alexander, Rt Hon Douglas	£21,742	£0	£20,870	£69,086	£533	£0	£5,876	£3,888	£0	£0	£0	£2,639	£5,557	£1,192	£0
Allen, Mr Graham	£22,110	£0	£29,140	£75,226	£4,038	£0	£6,499	£0	£0	£659	£315	£2,111	£7,501	£1,142	£0
Amess, Mr David	£22,088	£0	£20,507	£87,206	£4,019	£0	£483	£0	£0	£0	£276	£733	£1,347	£1,122	£0
Ancram, Rt Hon Michael	£22,030	£0	£20,082	£87,633	£787	£0	£2,015	£4,625	£0	£0	£120	£585	£2,411	£1,009	£0
Anderson, Mr David	£20,928	£0	£25,668	£84,318	£2,140	£0	£9,351	£291	£0	£0	£319	£2,956	£4,368	£1,014	£0
