Name	Country
Aberavon	W
Aberconwy	W
Aberdeen North	S
Aberdeen South	S
Airdrie and Shotts	S
Aldershot	E
Aldridge-Brownhills	E
Altrincham and Sale West	E
Alyn and Deeside	W
Amber Valley	E
Angus	S
Arfon	W
Argyll and Bute	S
Arundel and South Downs	E
Ashfield	E
Ashford	E
Ashton-under-Lyne	E
Aylesbury	E
Ayr, Carrick and Cumnock	S
Banbury	E
Banff and Buchan	S
Barking	E
Barnsley Central	E
Barnsley East	E
Barrow and Furness	E
Basildon and Billericay	E
Basingstoke	E
Bassetlaw	E
Bath	E
Batley and Spen	E
Battersea	E
Beaconsfield	E
Beckenham	E
Bedford	E
Belfast East	N
Belfast North	N
Belfast South	N
Belfast West	N
Bermondsey and Old Southwark	E
Berwickshire, Roxburgh and Selkirk	S
Berwick-upon-Tweed	E
Bethnal Green and Bow	E
Beverley and Holderness	E
Bexhill and Battle	E
Bexleyheath and Crayford	E
Birkenhead	E
Birmingham, Edgbaston	E
Birmingham, Erdington	E
Birmingham, Hall Green	E
Birmingham, Hodge Hill	E
Birmingham, Ladywood	E
Birmingham, Northfield	E
Birmingham, Perry Barr	E
Birmingham, Selly Oak	E
Birmingham, Yardley	E
Bishop Auckland	E
Blackburn	E
Blackley and Broughton	E
Blackpool North and Cleveleys	E
Blackpool South	E
Blaenau Gwent	W
Blaydon	E
Blyth Valley	E
Bognor Regis and Littlehampton	E
Bolsover	E
Bolton North East	E
Bolton South East	E
Bolton West	E
Bootle	E
Boston and Skegness	E
Bosworth	E
Bournemouth East	E
Bournemouth West	E
Bracknell	E
Bradford East	E
Bradford South	E
Bradford West	E
Braintree	E
Brecon and Radnorshire	W
Brent Central	E
Brentford and Isleworth	E
Brent North	E
Brentwood and Ongar	E
Bridgend	W
Bridgwater and West Somerset	E
Brigg and Goole	E
Brighton, Kemptown	E
Brighton, Pavilion	E
Bristol East	E
Bristol North West	E
Bristol South	E
Bristol West	E
Broadland	E
Bromley and Chislehurst	E
Bromsgrove	E
Broxbourne	E
Broxtowe	E
Buckingham	E
Burnley	E
Burton	E
Bury North	E
Bury South	E
Bury St Edmunds	E
Caerphilly	W
Caithness, Sutherland and Easter Ross	S
Calder Valley	E
Camberwell and Peckham	E
Camborne and Redruth	E
Cambridge	E
Cannock Chase	E
Canterbury	E
Cardiff Central	W
Cardiff North	W
Cardiff South and Penarth	W
Cardiff West	W
Carlisle	E
Carmarthen East and Dinefwr	W
Carmarthen West and South Pembrokeshire	W
Carshalton and Wallington	E
Castle Point	E
Central Ayrshire	S
Central Devon	E
Central Suffolk and North Ipswich	E
Ceredigion	W
Charnwood	E
Chatham and Aylesford	E
Cheadle	E
Chelmsford	E
Chelsea and Fulham	E
Cheltenham	E
Chesham and Amersham	E
Chesterfield	E
Chichester	E
Chingford and Woodford Green	E
Chippenham	E
Chipping Barnet	E
Chorley	E
Christchurch	E
Cities of London and Westminster	E
City of Chester	E
City of Durham	E
Clacton	E
Cleethorpes	E
Clwyd South	W
Clwyd West	W
Coatbridge, Chryston and Bellshill	S
Colchester	E
Colne Valley	E
Congleton	E
Copeland	E
Corby	E
Coventry North East	E
Coventry North West	E
Coventry South	E
Crawley	E
Crewe and Nantwich	E
Croydon Central	E
Croydon North	E
Croydon South	E
Cumbernauld, Kilsyth and Kirkintilloch East	S
Cynon Valley	W
Dagenham and Rainham	E
Darlington	E
Dartford	E
Daventry	E
Delyn	W
Denton and Reddish	E
Derby North	E
Derbyshire Dales	E
Derby South	E
Devizes	E
Dewsbury	E
Doncaster Central	E
Doncaster North	E
Don Valley	E
Dover	E
Dudley North	E
Dudley South	E
Dulwich and West Norwood	E
Dumfries and Galloway	S
Dumfriesshire, Clydesdale and Tweeddale	S
Dundee East	S
Dundee West	S
Dunfermline and West Fife	S
Dwyfor Meirionnydd	W
Ealing Central and Acton	E
Ealing North	E
Ealing, Southall	E
Easington	E
East Antrim	N
Eastbourne	E
East Devon	E
East Dunbartonshire	S
East Ham	E
East Hampshire	E
East Kilbride, Strathaven and Lesmahagow	S
Eastleigh	E
East Londonderry	N
East Lothian	S
East Renfrewshire	S
East Surrey	E
East Worthing and Shoreham	E
East Yorkshire	E
Eddisbury	E
Edinburgh East	S
Edinburgh North and Leith	S
Edinburgh South	S
